Chipotle Mexican Grill - Balance Sheet,,,,,,,,,,
($ in thousands),,,,,,,,,,
,,,,,,,,,,
Fiscal Year,2021A,2022A,2023A,2024A,2025A,2026E,2027E,2028E,2029E,2030E
,,,,,,,,,,
Cash and equivalents,"$815,374.00","$384,000.00","$560,609.00","$748,537.00","$350,545.00","$163,987.32","$100,186.78","$12,817.31","$131,530.05","$444,655.03"
Short-term investments,"$260,945.00","$515,136.00","$734,838.00","$674,378.00","$698,591.00","$698,591.00","$698,591.00","$698,591.00","$698,591.00","$698,591.00"
Accounts receivable,"$99,599.00","$106,880.00","$115,535.00","$143,963.00","$156,466.00","$179,845.53","$197,863.86","$217,346.83","$238,373.28","$259,752.26"
Inventory,"$32,826.00","$35,668.00","$39,309.00","$48,942.00","$49,508.00","$53,054.43","$58,369.84","$64,117.31","$70,320.12","$76,626.92"
Income tax receivable,"$94,064.00","$47,741.00","$52,960.00","$67,229.00","$91,393.00","$91,393.00","$91,393.00","$91,393.00","$91,393.00","$91,393.00"
Prepaid expenses and other current assets,"$78,756.00","$86,412.00","$117,462.00","$97,538.00","$120,450.00","$262,574.47","$288,881.24","$317,326.37","$348,024.99","$379,238.31"
Total current assets,"$1,381,564.00","$1,175,837.00","$1,620,713.00","$1,780,587.00","$1,466,953.00","$1,449,445.74","$1,435,285.72","$1,401,591.82","$1,578,232.45","$1,950,256.51"
"Leasehold improvements, property and equipment, net","$1,769,278.00","$1,951,147.00","$2,170,038.00","$2,390,126.00","$2,679,361.00","$3,142,073.77","$3,620,883.14","$4,114,719.96","$4,622,457.47","$5,143,838.31"
Long-term investments,"$274,311.00","$388,055.00","$564,488.00","$868,025.00","$197,123.00","$197,123.00","$197,123.00","$197,123.00","$197,123.00","$197,123.00"
restricted cash,"$30,856.00","$24,966.00","$25,554.00","$29,842.00","$35,364.00","$35,364.00","$35,364.00","$35,364.00","$35,364.00","$35,364.00"
Operating lease assets,"$3,118,294.00","$3,302,402.00","$3,578,548.00","$4,000,127.00","$4,463,010.00","$4,975,086.97","$5,534,925.80","$6,140,271.21","$6,793,573.82","$7,457,829.52"
Other long-term assets,"$56,716.00","$63,158.00","$63,082.00","$113,728.00","$130,781.00","$130,781.00","$130,781.00","$130,781.00","$130,781.00","$130,781.00"
Goodwill,"$21,939.00","$21,939.00","$21,939.00","$21,939.00","$21,939.00","$21,939.00","$21,939.00","$21,939.00","$21,939.00","$21,939.00"
Total assets,"$6,652,958.00","$6,927,504.00","$8,044,362.00","$9,204,374.00","$8,994,531.00","$9,951,813.48","$10,976,301.67","$12,041,789.99","$13,379,470.73","$14,937,131.34"
,,,,,,,,,,
Accounts payable,"$163,161.00","$184,566.00","$197,646.00","$210,695.00","$212,813.00","$244,050.38","$268,501.26","$294,939.64","$323,472.55","$352,483.82"
Accrued payroll and benefits,"$162,405.00","$170,456.00","$227,537.00","$261,913.00","$250,126.00","$274,413.96","$301,906.91","$331,634.63","$363,717.46","$396,338.18"
