Chipotle Mexican Grill - Income Statement,,,,,,,,,,
($ in thousands),,,,,,,,,,
,,,,,,,,,,
Fiscal Year,2021A,2022A,2023A,2024A,2025A,2026E,2027E,2028E,2029E,2030E
,,,,,,,,,,
Revenue,"$7,547,061.00","$8,634,652.00","$9,871,649.00","$11,313,853.00","$11,925,601.00","$13,128,723.42","$14,444,062.10","$15,866,318.29","$17,401,249.67","$18,961,915.30"
"Food, beverages and packaging","$2,308,631.00","$2,602,245.00","$2,912,564.00","$3,374,516.00","$3,526,992.00","$3,872,973.41","$4,260,998.32","$4,680,563.89","$5,133,368.65","$5,593,765.01"
Labor,"$1,917,761.00","$2,197,958.00","$2,440,982.00","$2,789,789.00","$2,991,680.00","$3,282,180.86","$3,611,015.53","$3,966,579.57","$4,350,312.42","$4,740,478.82"
Occupancy,"$416,606.00","$460,425.00","$503,264.00","$563,374.00","$624,898.00","$669,564.89","$736,647.17","$809,182.23","$870,062.48","$948,095.76"
Other operating cost,"$1,197,054.00","$1,311,905.00","$1,428,747.00","$1,568,482.00","$1,755,824.00","$1,903,664.90","$2,094,389.00","$2,300,616.15","$2,523,181.20","$2,749,477.72"
General and administrative,"$606,854.00","$564,191.00","$633,584.00","$697,483.00","$652,017.00","$722,079.79","$794,423.42","$872,647.51","$957,068.73","$1,042,905.34"
Depreciation and amortization,"$254,657.00","$286,826.00","$319,394.00","$335,030.00","$361,382.00","$393,861.70","$433,321.86","$475,989.55","$522,037.49","$568,857.46"
Pre-opening cost,"$21,264.00","$29,560.00","$36,931.00","$41,897.00","$49,507.00","$51,200.00","$53,600.00","$56,000.00","$58,400.00","$60,800.00"
"Impairment, closure cost","$19,291.00","$21,139.00","$38,370.00","$26,949.00","$27,503.00","$30,000.00","$30,000.00","$30,000.00","$30,000.00","$30,000.00"
Total operating expense,"$6,742,118.00","$7,474,249.00","$8,313,836.00","$9,397,520.00","$9,989,803.00","$10,925,525.55","$12,014,395.29","$13,191,578.91","$14,444,430.98","$15,734,380.12"
Operating income,"$804,943.00","$1,160,403.00","$1,557,813.00","$1,916,333.00","$1,935,798.00","$2,203,197.88","$2,429,666.81","$2,674,739.38","$2,956,818.69","$3,227,535.18"
"Interest and other income, net","$7,820.00","$21,128.00","$62,693.00","$93,897.00","$73,721.00","$75,000.00","$75,000.00","$75,000.00","$75,000.00","$75,000.00"
Income before taxes,"$812,763.00","$1,181,531.00","$1,620,506.00","$2,010,230.00","$2,009,519.00","$2,278,197.88","$2,504,666.81","$2,749,739.38","$3,031,818.69","$3,302,535.18"
Provision for taxes,"$159,779.00","$282,430.00","$391,769.00","$476,120.00","$473,758.00","$535,376.50","$588,596.70","$646,188.75","$712,477.39","$776,095.77"
Net Income,"$652,984.00","$899,101.00","$1,228,737.00","$1,534,110.00","$1,535,761.00","$1,742,821.38","$1,916,070.11","$2,103,550.63","$2,319,341.30","$2,526,439.41"
